Yıl,Ay No,İlçe,Dogalgaz Tüketim Miktarı (m3)
2019,11,AVCILAR,9774974.915
2019,12,AVCILAR,22387539.225
2020,1,AVCILAR,30532157.267
2020,2,AVCILAR,25619037.105
2020,3,AVCILAR,21792487.948
2020,4,AVCILAR,14569372.934
2020,5,AVCILAR,6738993.638
2020,6,AVCILAR,6029074.809
2020,7,AVCILAR,5413626.166
2020,8,AVCILAR,5283359.106
2020,9,AVCILAR,5718902.777
2020,10,AVCILAR,6765043.024
2020,11,AVCILAR,16789921.178
2020,12,AVCILAR,22394787.176
2021,1,AVCILAR,25661923.188
2021,2,AVCILAR,23987142.603
2021,3,AVCILAR,27257648.302
2021,4,AVCILAR,18146495.441
2021,5,AVCILAR,7028307.113
2021,6,AVCILAR,6548596.398
2021,7,AVCILAR,5014371.991
2021,8,AVCILAR,5617745.433
2021,9,AVCILAR,6137753.547
2021,10,AVCILAR,9787118.439
2021,11,AVCILAR,15275934.512
2021,12,AVCILAR,25209733.906
2022,1,AVCILAR,31221361.867
2022,2,AVCILAR,26306381.641
2022,3,AVCILAR,31604450.608
2022,4,AVCILAR,13795793.96
2022,5,AVCILAR,7961106.509
2022,6,AVCILAR,6061616.687
2022,7,AVCILAR,4796965.278
2022,8,AVCILAR,5204378.451
2022,9,AVCILAR,5704025.338
2022,10,AVCILAR,7637807.22
2022,11,AVCILAR,12298243.208
2022,12,AVCILAR,20811112.33
2023,1,AVCILAR,23290532.013
2023,2,AVCILAR,26473697.131
2023,3,AVCILAR,22997114.175
2023,4,AVCILAR,13653901.392
2015,1,BAĞCILAR,36124173.038
2015,2,BAĞCILAR,31428012.98
2015,3,BAĞCILAR,29416082.154
2015,4,BAĞCILAR,17963145.34
2015,5,BAĞCILAR,7546302.169
2015,6,BAĞCILAR,6241807.741
2015,7,BAĞCILAR,5308260.698
2015,8,BAĞCILAR,5215675.544
2015,9,BAĞCILAR,5606660.781
2015,10,BAĞCILAR,9379003.372
2015,11,BAĞCILAR,15114777.571
2015,12,BAĞCILAR,30845047.1
2016,1,BAĞCILAR,38771479.839
2016,2,BAĞCILAR,26685618.741
2016,3,BAĞCILAR,24281410.417
2016,4,BAĞCILAR,10063432.406
2016,5,BAĞCILAR,8162145.707
2016,6,BAĞCILAR,6185722.139
2016,7,BAĞCILAR,4925509.693
2016,8,BAĞCILAR,5716968.965
2016,9,BAĞCILAR,5646382.685
2016,10,BAĞCILAR,10579632.402
2016,11,BAĞCILAR,22950116.629
2016,12,BAĞCILAR,41199911.175
2017,1,BAĞCILAR,48616656.595
2017,2,BAĞCILAR,36536638.233
2017,3,BAĞCILAR,29651312.078
2017,4,BAĞCILAR,18891490.359
2017,5,BAĞCILAR,9136500.976
2017,6,BAĞCILAR,6087678.951
2017,7,BAĞCILAR,5743594.007
2017,8,BAĞCILAR,5743265.106
2017,9,BAĞCILAR,5839356.608
2017,10,BAĞCILAR,10452131.641
2017,11,BAĞCILAR,21928210.281
2017,12,BAĞCILAR,27224001.988
2018,1,BAĞCILAR,42063628.45
2018,2,BAĞCILAR,33571570.21
2018,3,BAĞCILAR,31395577.49
2018,4,BAĞCILAR,14792493.792
2018,5,BAĞCILAR,8809737.436
2018,6,BAĞCILAR,6142618.679
2018,7,BAĞCILAR,6008523.988
2018,8,BAĞCILAR,5098560.151
2018,9,BAĞCILAR,6423060.452
2018,10,BAĞCILAR,9354891.434
2018,11,BAĞCILAR,21385683.288
2018,12,BAĞCILAR,41133804.21
2019,1,BAĞCILAR,44821679.947
2019,2,BAĞCILAR,36188127.449
2019,3,BAĞCILAR,31204570.099
2019,4,BAĞCILAR,21912313.517
2019,5,BAĞCILAR,9610234.81099999
2019,6,BAĞCILAR,5891157.539
2019,7,BAĞCILAR,6484281.008
2019,8,BAĞCILAR,5647874.53
2019,9,BAĞCILAR,6612222.152
2019,10,BAĞCILAR,8339410.368
2019,11,BAĞCILAR,12479451.023
2019,12,BAĞCILAR,31434305.414
2020,1,BAĞCILAR,44055091.355
2020,2,BAĞCILAR,36244025.182
2020,3,BAĞCILAR,31088778.568
2020,4,BAĞCILAR,19326774.69
2020,5,BAĞCILAR,8437756.45
2020,6,BAĞCILAR,7383878.866
2020,7,BAĞCILAR,6618685.862
2020,8,BAĞCILAR,6155798.393
2020,9,BAĞCILAR,6834679.868
2020,10,BAĞCILAR,8097765.466
2020,11,BAĞCILAR,23222548.696
2020,12,BAĞCILAR,31877958.365
2021,1,BAĞCILAR,36624187.761
